log10(Mass)+10    log10(VelDisp_subhalos)
10.480441 -inf
10.511561 -inf
10.463895 -inf
10.491643 -inf
10.471928 -inf
10.385931 1.512724
10.450900 1.743329
10.501506 -inf
10.504314 -inf
10.463910 1.629854
10.278988 1.574691
10.502023 -inf
10.501103 1.697337
10.482842 -inf
10.488486 -inf
10.487097 1.690886
10.492344 -inf
10.482296 1.620974
10.508664 -inf
10.466695 1.740368
10.446282 1.315924
10.485047 -inf
10.488183 -inf
10.483450 -inf
10.487580 -inf
10.520167 -inf
10.307198 -inf
10.483203 -inf
10.493439 -inf
10.457421 1.679479
10.475293 -inf
10.420164 -inf
10.480291 -inf
10.477883 -inf
10.477675 -inf
10.460146 -inf
10.453779 -inf
10.463438 -inf
10.498200 -inf
10.481259 -inf
10.320370 -inf
10.508721 -inf
10.437907 -inf
10.490093 -inf
10.502589 -inf
10.428340 -inf
10.454072 -inf
10.472712 -inf
10.202599 -inf
10.471949 -inf
10.469331 1.608198
10.447714 -inf
10.476818 -inf
10.459060 -inf
10.437556 -inf
10.471309 -inf
10.461666 -inf
10.476833 -inf
10.483918 -inf
10.457188 -inf
10.478224 -inf
10.414066 1.587466
10.455822 -inf
10.481944 -inf
10.487419 -inf
10.303563 1.782693
10.456584 -inf
10.475611 -inf
10.490771 -inf
10.467627 -inf
10.503903 -inf
10.461766 -inf
10.412487 1.474286
10.468896 -inf
10.472926 -inf
10.460277 -inf
10.459702 -inf
10.473710 -inf
10.422518 1.614659
10.437534 -inf
10.447911 -inf
10.465404 -inf
10.269498 1.434754
10.461328 -inf
10.444002 -inf
10.482869 -inf
10.481004 -inf
10.453245 -inf
10.457633 -inf
10.420556 1.586245
10.463312 -inf
10.405575 1.730319
10.436182 -inf
10.442436 -inf
10.434055 -inf
10.494862 -inf
10.468708 -inf
10.451517 -inf
10.418365 -inf
10.277722 -inf
10.336884 -inf
10.469532 -inf
10.466966 -inf
10.096665 1.492351
10.463699 -inf
10.476397 -inf
10.458323 -inf
10.453332 1.631325
10.158187 1.493312
10.462030 -inf
10.457424 -inf
10.437161 -inf
10.270838 1.485041
10.453078 1.728022
10.427854 1.673127
10.465885 -inf
10.415677 1.621798
10.457836 -inf
10.330950 2.035078
10.315187 1.636925
10.428879 1.479647
10.431101 1.528344
10.415899 -inf
10.443776 -inf
10.387440 -inf
10.435841 -inf
10.464650 -inf
10.394180 -inf
10.457911 -inf
10.426827 -inf
10.485149 1.755925
10.431932 -inf
10.418995 1.616144
10.455959 -inf
10.409934 1.518938
10.438091 1.362791
10.494868 -inf
10.447225 -inf
10.459772 1.625301
10.409275 1.423844
10.428522 -inf
10.455805 1.713076
10.453045 -inf
10.432777 -inf
10.407175 -inf
10.439122 -inf
10.431024 -inf
10.350292 1.598045
10.431110 -inf
10.357135 1.605972
10.479393 -inf
10.386033 -inf
10.440723 -inf
10.475240 -inf
10.456735 -inf
10.445206 -inf
10.422470 -inf
10.405655 -inf
10.383122 -inf
10.420640 -inf
10.446208 -inf
10.440063 1.603196
10.240506 1.604575
10.103504 2.027594
10.388988 1.601771
10.475721 -inf
9.923913 1.254994
