log10(Mass)+10    log10(VelDisp_particles)
10.614908 1.734364
10.644034 1.871879
10.647804 1.765442
10.607378 1.732519
10.586802 1.742020
10.526351 1.719764
10.600264 1.718471
10.643622 1.820241
10.664551 1.760753
10.587500 1.721193
10.648783 1.753720
10.636581 1.752484
10.655029 1.774666
10.637769 1.757561
10.651744 1.773260
10.524775 2.044314
10.617466 1.710344
10.639614 1.757587
10.561014 1.703615
10.645802 1.790862
10.632714 1.762889
10.651774 1.779771
10.578886 1.724459
10.661616 1.901074
10.618276 1.713483
10.466647 1.692729
10.462494 1.724513
10.627824 1.765731
10.662051 1.793372
10.624139 1.764841
10.600238 1.740623
10.638657 1.775949
10.585887 1.702917
10.652848 1.969803
10.411850 1.729830
10.562764 1.736305
10.585534 1.726742
10.637617 1.745680
10.639085 1.754032
10.363806 1.675634
10.606121 1.743662
10.568144 1.909690
10.637834 1.774988
10.485965 1.726615
10.612511 1.751435
10.485952 1.690169
10.637441 1.771401
10.586092 1.728553
10.628498 1.760973
10.634243 1.777173
10.602169 1.730599
10.612794 1.766402
10.607118 1.743823
10.561030 1.912225
10.592137 2.035022
10.620530 1.741491
10.629951 1.773274
10.586336 1.724667
10.629019 1.763652
10.193034 1.800028
10.606714 1.735005
10.573024 1.704267
10.653647 1.860063
10.615146 1.753731
10.590741 1.752528
10.619314 1.789712
10.606925 1.731078
10.601641 1.729085
10.535601 1.715851
10.587254 1.730764
10.596496 1.733831
10.613490 1.748556
10.601577 1.739796
10.487690 1.738322
10.562439 1.739311
10.583295 1.730524
10.594615 1.734712
10.554003 1.729314
10.575456 1.701477
10.542987 1.693672
10.368316 1.658712
10.483335 1.795666
10.529655 1.726774
10.608410 1.751618
10.376044 1.684618
10.556548 1.701779
10.485179 1.739679
10.571667 1.712298
10.577154 1.746199
10.649958 1.890446
10.592089 1.881296
10.621386 1.748721
10.618330 1.752876
10.566173 1.716812
10.622870 1.776933
10.600265 1.738654
10.572872 1.717435
10.585169 1.731465
10.596722 1.745815
10.579548 1.724536
10.597872 1.752556
10.569176 1.730711
10.597282 1.744693
10.600240 1.730370
10.580273 1.710823
10.566801 1.723392
10.588802 1.728774
10.599208 1.753442
10.553938 1.707127
10.534227 1.714298
10.581429 1.734578
10.413856 1.684668
10.574495 1.743047
10.603613 1.754490
10.537195 1.710537
10.303411 2.306448
10.540449 1.816261
10.559406 1.794443
10.590510 1.735323
10.566163 1.722178
10.600213 1.766289
10.499655 1.678623
10.426453 1.739215
10.608082 1.774419
10.569385 1.739160
10.600448 1.747302
10.596993 1.751486
10.578598 1.731470
10.531367 1.726322
10.606978 1.752338
10.587525 1.753406
10.388515 1.790788
10.476393 1.705461
10.497168 1.808690
10.580582 1.849323
10.595850 1.795842
10.589472 1.760664
10.508490 1.703447
10.580671 1.737790
10.578774 1.731805
10.555624 1.698839
10.593609 1.840173
10.430564 1.709560
10.514065 1.708401
10.597872 1.756558
10.576172 1.733371
10.551975 1.695793
10.593226 1.760834
10.567154 1.733642
10.543062 1.714024
10.568270 1.774738
10.549260 1.706908
10.600330 1.771364
10.561591 1.724740
10.468520 1.710945
10.491551 1.701777
10.581226 1.755332
10.531664 1.700697
10.538588 1.728905
10.600661 1.757565
10.570096 1.743268
10.471513 1.723464
10.580318 1.740385
10.520651 1.726858
10.543414 1.718748
10.553193 1.764607
10.553193 1.741943
10.544220 1.729400
10.507571 1.788888
10.553125 1.735851
10.546156 1.720316
10.544336 1.730848
10.553212 1.707186
10.523977 1.764384
10.563855 1.736719
10.254745 1.636192
10.559819 1.778903
10.569554 1.746176
10.575267 1.736562
10.568539 1.741120
10.563726 1.741403
10.542438 1.714653
10.516920 1.704540
10.412921 1.697635
10.414469 1.662512
10.532691 1.831665
10.555295 1.749263
10.536904 1.703206
10.564205 1.724346
10.310939 1.653534
10.519842 1.677229
10.508442 1.695267
10.514438 1.700946
10.123308 1.607101
10.089295 1.636855
10.561049 1.750666
10.526303 1.708711
10.534105 1.698157
10.555672 1.754025
10.586848 1.764410
