No. Number M200 sigma200 R200 Sigma M_sigma Sigma_LoS
348.0 1.0 58.1432 95.9642 0.1357 0.0 0.0 0.0
349.0 1.0 88.0298 110.1904 0.1559 0.0 0.0 0.0
350.0 1.0 100.0932 115.015 0.1627 0.0 0.0 0.0
351.0 1.0 24.2354 71.6837 0.1014 0.0 0.0 0.0
352.0 2.0 79.6616 106.5838 0.1508 36.2158 9.1973 13.4528
353.0 1.0 80.9657 107.1633 0.1516 0.0 0.0 0.0
354.0 1.0 84.6608 108.7681 0.1539 0.0 0.0 0.0
355.0 1.0 41.0806 85.471 0.1209 0.0 0.0 0.0
356.0 1.0 89.7687 110.9134 0.1569 0.0 0.0 0.0
357.0 1.0 54.9915 94.1981 0.1332 0.0 0.0 0.0
358.0 1.0 67.2722 100.7435 0.1425 0.0 0.0 0.0
359.0 1.0 97.7022 114.0874 0.1614 0.0 0.0 0.0
360.0 1.0 89.66 110.867 0.1568 0.0 0.0 0.0
361.0 1.0 87.2691 109.8721 0.1554 0.0 0.0 0.0
362.0 2.0 65.3159 99.7585 0.1411 34.2727 7.7093 18.8724
363.0 1.0 52.0571 92.4914 0.1308 0.0 0.0 0.0
364.0 1.0 82.5959 107.8771 0.1526 0.0 0.0 0.0
365.0 1.0 85.8562 109.2782 0.1546 0.0 0.0 0.0
366.0 1.0 78.7921 106.1954 0.1502 0.0 0.0 0.0
367.0 1.0 94.8766 112.9768 0.1598 0.0 0.0 0.0
368.0 1.0 87.1604 109.8289 0.1554 0.0 0.0 0.0
369.0 1.0 93.4638 112.4153 0.159 0.0 0.0 0.0
370.0 1.0 87.9211 110.1499 0.1558 0.0 0.0 0.0
371.0 1.0 89.986 111.0053 0.157 0.0 0.0 0.0
372.0 1.0 88.3559 110.3307 0.1561 0.0 0.0 0.0
373.0 2.0 80.531 106.9705 0.1513 64.9955 29.7305 52.1871
374.0 1.0 93.7898 112.5441 0.1592 0.0 0.0 0.0
375.0 1.0 95.3113 113.1488 0.1601 0.0 0.0 0.0
376.0 1.0 94.4419 112.8082 0.1596 0.0 0.0 0.0
377.0 1.0 78.2487 105.9493 0.1499 0.0 0.0 0.0
378.0 1.0 59.9907 96.969 0.1372 0.0 0.0 0.0
379.0 1.0 90.5294 111.2248 0.1573 0.0 0.0 0.0
380.0 1.0 87.1604 109.8281 0.1554 0.0 0.0 0.0
