mass M200 vel_disp group_number subhalo_number zform alpha
555.6746215820312 423.9559631347656 162.85284423828125 233.0 2951.0 1.5679214714365588 342.4655281383455
511.8771057128906 486.4462585449219 174.0526123046875 234.0 2956.0 0.8996992208840685 439.16426387802596
570.5636596679688 466.6667175292969 169.85565185546875 235.0 2961.0 1.1804507149206371 285.211346598428
566.7598876953125 461.9935302734375 166.37677001953125 236.0 2964.0 0.8317049093979264 179.60991615460443
569.4768676757812 480.2515563964844 172.85752868652344 237.0 2968.0 1.4180004547785634 331.53965669668423
570.2376098632812 491.44549560546875 169.59072875976562 238.0 2970.0 0.7728891304671388 22.30102844224234
565.673095703125 487.85906982421875 175.7642822265625 239.0 2971.0 1.5419692715975428 254.49609983465166
536.8732299804688 438.4102478027344 166.7589111328125 240.0 2973.0 0.8234836917323815 330.7061774606083
278.5437316894531 211.70628356933594 126.7965087890625 241.0 2976.0 1.431357416299584 97.21941668739429
560.3478393554688 465.47125244140625 173.0043182373047 242.0 2980.0 1.4997641355263187 79.60564404506462
504.2695617675781 472.9700927734375 167.58074951171875 243.0 2982.0 1.0040449473801134 421.96810391373924
503.7261962890625 387.3312072753906 152.06541442871094 244.0 2986.0 0.8472644685386324 155.38148679812707
554.5878295898438 467.2101135253906 170.15611267089844 245.0 2991.0 1.5345697439206973 245.1756779457863
546.1109008789062 435.04119873046875 166.45301818847656 246.0 2993.0 1.2344061509853983 272.49715553613953
507.5299377441406 397.5469970703125 163.756103515625 247.0 2996.0 0.3891208106728438 678.5662457228432
527.9615478515625 450.5822448730469 165.60459899902344 248.0 3002.0 0.8460688281205317 189.07752158268391
450.3648986816406 318.9722595214844 144.47120666503906 249.0 3005.0 1.0777361689438747 357.061358186099
481.99041748046875 366.7909240722656 151.13368225097656 250.0 3013.0 0.8489071370463032 363.93941943623383
531.7653198242188 470.6878356933594 173.74392700195312 251.0 3017.0 1.4885777594769547 253.20180292301245
468.5142517089844 310.49530029296875 147.04417419433594 252.0 3019.0 0.9760386355180519 353.9680070409196
488.6198425292969 450.2562255859375 176.4508056640625 253.0 3024.0 0.27411268661055466 850.8092564142838
457.5376892089844 350.05438232421875 152.05950927734375 254.0 3028.0 1.0880855548691186 261.10594660962556
516.9849853515625 391.24365234375 154.81785583496094 255.0 3032.0 0.9876835259667829 305.26036459441764
515.5721435546875 369.29052734375 154.50537109375 256.0 3035.0 0.3222777567960707 813.7549726262006
509.3774719238281 406.89337158203125 166.7589874267578 257.0 3039.0 1.4706257125804054 282.1178937279882
503.18280029296875 460.2546691894531 173.12890625 258.0 3043.0 1.2806868272121978 235.01261270473626
492.6409606933594 420.4782409667969 164.5352325439453 259.0 3047.0 1.1106764721744802 447.6963721418978
